Segment	Centroid_r	Centroid_a	Centroid_s
Segment_1	161.758	160.054	-619.206
Segment_2	162.713	160.91	-453.402
Segment_3	-45.0833	181.454	-534.013
Segment_4	161.706	178.939	-516.598
Segment_5	161.74	174.729	-554.939
Segment_6	-45.2058	178.307	-524.739
Segment_7	-45.8648	169.287	-598.68
Segment_8	-43.999	178.244	-458.782
Segment_9	67.6441	57.8981	-752.376
Segment_10	1.77251	56.8695	-751.908
Segment_11	41.1616	157.834	-743.277
Segment_12	145.971	147.049	-743.586
Segment_13	80.124	146.008	-744.662
Segment_14	-24.5174	157.981	-741.58
Segment_15	160.993	151.639	-658.16
Segment_16	-45.295	152.923	-709.441
Segment_17	-46.5063	148.955	-643.554
Segment_18	161.327	156.974	-723.923

