Segment	Centroid_r	Centroid_a	Centroid_s
Segment_1	-90.9138	-27.4577	157.541
Segment_2	-110.415	-51.6607	-59.3599
Segment_3	-110.593	-54.3477	-49.5999
Segment_4	-111.718	-41.9023	17.7103
Segment_5	-108.514	-52.2659	-124.426
Segment_6	97.0614	-51.1991	-64.9642
Segment_7	96.9303	-46.3168	-25.8128
Segment_8	-112.92	-18.6213	63.6656
Segment_9	96.9242	-30.5408	40.2202
Segment_10	95.6737	-19.8116	79.901
Segment_11	-112.304	-20.5921	129.855
Segment_12	97.6132	-33.9615	-126.186
Segment_13	94.9044	-23.4152	143.812
Segment_14	-24.6302	-25.2177	153.982
Segment_15	12.9665	-13.7016	155.003
Segment_16	0.262996	72.0571	162.757
Segment_17	-64.8095	74.21	165.985
Segment_18	77.8271	-13.6366	158.762
