Segment	Centroid_r	Centroid_a	Centroid_s
Segment_1	144.047	196.843	-684.683
Segment_2	-17.0175	222.969	-665.534
Segment_3	-17.3395	218.867	-676.697
Segment_4	-17.9959	199.317	-739.57
Segment_5	142.417	193.077	-750.161
Segment_6	147.809	167.369	-502.585
Segment_7	-15.7558	220.028	-586.654
Segment_8	146.268	180.513	-566.945
Segment_9	145.259	216.878	-569.453
Segment_10	144.367	220.348	-635.352
Segment_11	-14.6102	195.685	-525.462
Segment_12	-16.1932	217.826	-599.687
Segment_13	149.592	71.7417	-516.889
Segment_14	147.687	56.6804	-581.109
Segment_15	145.089	104.086	-709.428
Segment_16	146.244	58.2259	-725.623
Segment_17	143.763	108.05	-774.686
Segment_18	148.558	52.8709	-661.369
