Segment	Centroid_r	Centroid_a	Centroid_s
Segment_1	109.759	50.1567	68.3099
Segment_2	-139.409	31.052	67.0059
Segment_3	-106.674	49.6562	-95.9865
Segment_4	132.865	-38.2018	75.5639
Segment_5	100.576	47.6355	-93.6922
Segment_6	-125.78	-65.285	73.959
Segment_7	-69.835	78.4167	64.0788
Segment_8	-46.1859	72.7722	-96.4888
Segment_9	-33.4171	70.1214	-96.4767
Segment_10	39.4824	68.4441	-95.3119
Segment_11	28.9164	72.8022	-95.5775
Segment_12	-4.148	80.4156	64.9247
Segment_13	43.3777	55.0074	66.7522
Segment_14	-71.8307	42.2523	66.3616
Segment_15	81.1525	-84.1031	77.8587
Segment_16	-60.442	-81.8431	75.4418
Segment_17	65.2837	-37.9214	73.184
Segment_18	16.613	-90.7057	76.5253
