marker_id,tip1_x,tip1_y,tip1_z,tip2_x,tip2_y,tip2_z,mid_x,mid_y,mid_z,err_x,err_y,err_z,err_norm,meas_x,meas_y,meas_z
1,309.436249793972,92.91975980149637,-1595.5006079339223,315.97537538650823,35.01105919844399,-1581.8139625574718,312.70581259024016,63.96540949997018,-1588.657285245697,0.3258125902401616,-0.11459050002981996,-0.4372852456970122,0.5572281514428215,312.38,64.08,-1588.22
2,308.3587767265546,111.52000032741803,-1595.1390454327625,315.68123360333846,54.46118171901104,-1579.336602980863,312.0200051649465,82.99059102321453,-1587.2378242068128,0.14000516494650128,-0.38940897678546094,-0.057824206812711054,0.4178330244323872,311.88,83.38,-1587.18
3,309.46707549903005,92.61756641902889,-1593.3949626555273,316.37136734359694,35.7119407838313,-1576.6508347523445,312.9192214213135,64.16475360143009,-1585.0228987039359,-0.09077857868646788,-0.18524639856990177,0.16710129606417468,0.265480360248703,313.01,64.35,-1585.19
4,306.96643855814324,106.56621834950013,-1600.684686737879,314.1345692074257,49.33545736118505,-1585.1214696961392,310.5505038827845,77.9508378553426,-1592.9030782170091,-0.03949611721549218,-0.3291621446574027,-0.09307821700917884,0.34434171288440873,310.59,78.28,-1592.81
5,308.12359804596304,114.48420762320411,-1601.7127428828746,312.7722799367808,57.42809924327116,-1584.5411841512912,310.4479389913719,85.95615343323763,-1593.126963517083,0.5279389913719115,-0.023846566762372845,-0.1069635170829315,0.5391933153738964,309.92,85.98,-1593.02
6,307.7851788138436,110.95420183157414,-1601.9416319751267,312.5584549547431,53.45771036214188,-1586.4104572869303,310.1718168842933,82.20595609685802,-1594.1760446310286,0.3618168842933187,-0.14404390314197713,-0.09604463102868976,0.4011043192755934,309.81,82.35,-1594.08
7,303.8461903345064,116.18042704753616,-1613.517597343675,310.2965438886029,58.87607029889383,-1597.6261518713122,307.07136711155465,87.52824867321499,-1605.5718746074936,0.7613671115546481,-0.02175132678500802,0.20812539250641748,0.7896006444905719,306.31,87.55,-1605.78
8,325.1836241428142,58.08021767746344,-1546.9092037477849,337.14888483901666,32.82900565575546,-1494.3301372305568,331.16625449091543,45.45461166660945,-1520.6196704891709,0.9262544909154258,0.35461166660945054,0.3203295108291968,1.04226091337275,330.24,45.1,-1520.94
9,310.0175515670735,101.92038932139594,-1589.7672324038808,316.7095496840416,44.6202369122431,-1574.3590370984844,313.36355062555754,73.27031311681952,-1582.0631347511826,-0.08644937444245215,-0.3696868831804778,-0.2831347511826152,0.4736107824621701,313.45,73.64,-1581.78
10,312.2997926237723,98.17187567954582,-1585.0437119370258,317.30708532741863,40.71666885762245,-1569.4864205170727,314.80343897559544,69.44427226858414,-1577.2650662270494,0.20343897559541801,-0.31572773141586197,-0.42506622704945585,0.5672325048464513,314.6,69.76,-1576.84
